participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.player_role,player.player_id_in_role,player.matching_group_id,player.condition_price,player.price1_offer,player.price2_offer,player.price_paid,player.action_chosen,player.interaction,player.cq_q1,player.cq_q2,player.cq_q3,player.cq_q4,player.player_b_type,player.revenue,player.round_payoff,player.total_payoff_points,player.total_payoff_euros,player.participation_fee,player.total_payment,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,kkoxza3q,,0,56,56,payment_uar,RedirectUAR,2025-11-17 09:44:34.864594,1,,,24.0,1,,7.0,A,A1,1,écart faible,2,3,2,1,,,,,,1,10,7.0,0.0,0.0,0.0,0.0,3,1,9tlf8m9k,,,,,1
2,f5qsa2it,,0,56,56,payment_uar,RedirectUAR,2025-11-17 09:44:35.264578,1,,,11.0,1,,1.0,A,A2,1,écart moyen,2,7,,,,,,,,0,0,1.0,0.0,0.0,0.0,0.0,2,1,9tlf8m9k,,,,,1
3,pmua02l6,,0,56,56,payment_uar,RedirectUAR,2025-11-17 09:44:35.735373,1,,,15.0,1,,1.0,A,A3,1,écart élevé,4,7,,,,,,,,0,0,1.0,0.0,0.0,0.0,0.0,1,1,9tlf8m9k,,,,,1
4,gifglz6q,,0,56,56,payment_uar,RedirectUAR,2025-11-17 09:44:36.174783,1,,,22.0,1,,8.0,A,A4,1,écart faible,2,3,2,2,,,,,,1,16,8.0,0.0,0.0,0.0,0.0,4,1,9tlf8m9k,,,,,1
5,2tejlr66,,0,56,56,payment_uar,RedirectUAR,2025-11-17 09:44:36.975738,1,,,6.0,2,,2.0,B,B1,1,écart faible,2,3,,,1,,,,,1,,2.0,0.0,0.0,0.0,0.0,3,1,9tlf8m9k,,,,,1
6,kh30zw38,,0,56,56,payment_uar,RedirectUAR,2025-11-17 09:44:37.631528,1,,,6.0,2,,2.0,B,B2,1,écart faible,2,3,,,1,,,,,1,,2.0,0.0,0.0,0.0,0.0,4,1,9tlf8m9k,,,,,1
7,euf5grnz,,0,56,56,payment_uar,RedirectUAR,2025-11-17 09:44:39.183653,1,,,12.0,2,,1.0,B,B3,1,écart moyen,2,7,,,0,,,,,0,,1.0,0.0,0.0,0.0,0.0,2,1,9tlf8m9k,,,,,1
8,4b7jpfw2,,0,56,56,payment_uar,RedirectUAR,2025-11-17 09:44:40.136814,1,,,13.0,2,,1.0,B,B4,1,écart élevé,4,7,,,0,,,,,0,,1.0,0.0,0.0,0.0,0.0,1,1,9tlf8m9k,,,,,1
1,kkoxza3q,,0,56,56,payment_uar,RedirectUAR,2025-11-17 09:44:34.864594,1,,,24.0,1,,1.0,A,A1,1,écart moyen,2,7,,,,,,,,0,0,1.0,0.0,0.0,0.0,0.0,4,2,9tlf8m9k,,,,,1
2,f5qsa2it,,0,56,56,payment_uar,RedirectUAR,2025-11-17 09:44:35.264578,1,,,11.0,1,,1.0,A,A2,1,écart faible,2,3,,,,,,,,0,0,1.0,0.0,0.0,0.0,0.0,1,2,9tlf8m9k,,,,,1
3,pmua02l6,,0,56,56,payment_uar,RedirectUAR,2025-11-17 09:44:35.735373,1,,,15.0,1,,12.0,A,A3,1,écart faible,2,3,3,1,,,,,,2,16,12.0,0.0,0.0,0.0,0.0,2,2,9tlf8m9k,,,,,1
4,gifglz6q,,0,56,56,payment_uar,RedirectUAR,2025-11-17 09:44:36.174783,1,,,22.0,1,,6.0,A,A4,1,écart élevé,4,7,4,2,,,,,,1,16,6.0,0.0,0.0,0.0,0.0,3,2,9tlf8m9k,,,,,1
5,2tejlr66,,0,56,56,payment_uar,RedirectUAR,2025-11-17 09:44:36.975738,1,,,6.0,2,,1.0,B,B1,1,écart faible,2,3,,,0,,,,,0,,1.0,0.0,0.0,0.0,0.0,1,2,9tlf8m9k,,,,,1
6,kh30zw38,,0,56,56,payment_uar,RedirectUAR,2025-11-17 09:44:37.631528,1,,,6.0,2,,1.0,B,B2,1,écart moyen,2,7,,,0,,,,,0,,1.0,0.0,0.0,0.0,0.0,4,2,9tlf8m9k,,,,,1
7,euf5grnz,,0,56,56,payment_uar,RedirectUAR,2025-11-17 09:44:39.183653,1,,,12.0,2,,3.0,B,B3,1,écart faible,2,3,,,1,,,,,2,,3.0,0.0,0.0,0.0,0.0,2,2,9tlf8m9k,,,,,1
8,4b7jpfw2,,0,56,56,payment_uar,RedirectUAR,2025-11-17 09:44:40.136814,1,,,13.0,2,,4.0,B,B4,1,écart élevé,4,7,,,1,,,,,1,,4.0,0.0,0.0,0.0,0.0,3,2,9tlf8m9k,,,,,1
1,kkoxza3q,,0,56,56,payment_uar,RedirectUAR,2025-11-17 09:44:34.864594,1,,,24.0,1,,8.0,A,A1,1,écart moyen,2,7,7,1,,,,,,2,16,8.0,0.0,0.0,0.0,0.0,4,3,9tlf8m9k,,,,,1
2,f5qsa2it,,0,56,56,payment_uar,RedirectUAR,2025-11-17 09:44:35.264578,1,,,11.0,1,,1.0,A,A2,1,écart élevé,4,7,,,,,,,,0,0,1.0,0.0,0.0,0.0,0.0,1,3,9tlf8m9k,,,,,1
3,pmua02l6,,0,56,56,payment_uar,RedirectUAR,2025-11-17 09:44:35.735373,1,,,15.0,1,,1.0,A,A3,1,écart élevé,4,7,,,,,,,,0,0,1.0,0.0,0.0,0.0,0.0,3,3,9tlf8m9k,,,,,1
4,gifglz6q,,0,56,56,payment_uar,RedirectUAR,2025-11-17 09:44:36.174783,1,,,22.0,1,,7.0,A,A4,1,écart faible,2,3,2,1,,,,,,1,10,7.0,0.0,0.0,0.0,0.0,2,3,9tlf8m9k,,,,,1
5,2tejlr66,,0,56,56,payment_uar,RedirectUAR,2025-11-17 09:44:36.975738,1,,,6.0,2,,1.0,B,B1,1,écart élevé,4,7,,,0,,,,,0,,1.0,0.0,0.0,0.0,0.0,3,3,9tlf8m9k,,,,,1
6,kh30zw38,,0,56,56,payment_uar,RedirectUAR,2025-11-17 09:44:37.631528,1,,,6.0,2,,2.0,B,B2,1,écart faible,2,3,,,1,,,,,1,,2.0,0.0,0.0,0.0,0.0,2,3,9tlf8m9k,,,,,1
7,euf5grnz,,0,56,56,payment_uar,RedirectUAR,2025-11-17 09:44:39.183653,1,,,12.0,2,,1.0,B,B3,1,écart élevé,4,7,,,0,,,,,0,,1.0,0.0,0.0,0.0,0.0,1,3,9tlf8m9k,,,,,1
8,4b7jpfw2,,0,56,56,payment_uar,RedirectUAR,2025-11-17 09:44:40.136814,1,,,13.0,2,,7.0,B,B4,1,écart moyen,2,7,,,1,,,,,2,,7.0,0.0,0.0,0.0,0.0,4,3,9tlf8m9k,,,,,1
1,kkoxza3q,,0,56,56,payment_uar,RedirectUAR,2025-11-17 09:44:34.864594,1,,,24.0,1,,8.0,A,A1,1,écart élevé,4,7,7,1,,,,,,2,16,8.0,24.0,3.43,5.0,8.43,3,4,9tlf8m9k,,,,,1
2,f5qsa2it,,0,56,56,payment_uar,RedirectUAR,2025-11-17 09:44:35.264578,1,,,11.0,1,,8.0,A,A2,1,écart moyen,2,7,2,2,,,,,,1,16,8.0,11.0,1.57,5.0,6.57,1,4,9tlf8m9k,,,,,1
3,pmua02l6,,0,56,56,payment_uar,RedirectUAR,2025-11-17 09:44:35.735373,1,,,15.0,1,,1.0,A,A3,1,écart faible,2,3,,,,,,,,0,0,1.0,15.0,2.14,5.0,7.14,2,4,9tlf8m9k,,,,,1
4,gifglz6q,,0,56,56,payment_uar,RedirectUAR,2025-11-17 09:44:36.174783,1,,,22.0,1,,1.0,A,A4,1,écart élevé,4,7,,,,,,,,0,0,1.0,22.0,3.14,5.0,8.14,4,4,9tlf8m9k,,,,,1
5,2tejlr66,,0,56,56,payment_uar,RedirectUAR,2025-11-17 09:44:36.975738,1,,,6.0,2,,2.0,B,B1,1,écart moyen,2,7,,,1,,,,,1,,2.0,6.0,0.86,5.0,5.86,1,4,9tlf8m9k,,,,,1
6,kh30zw38,,0,56,56,payment_uar,RedirectUAR,2025-11-17 09:44:37.631528,1,,,6.0,2,,1.0,B,B2,1,écart élevé,4,7,,,0,,,,,0,,1.0,6.0,0.86,5.0,5.86,4,4,9tlf8m9k,,,,,1
7,euf5grnz,,0,56,56,payment_uar,RedirectUAR,2025-11-17 09:44:39.183653,1,,,12.0,2,,7.0,B,B3,1,écart élevé,4,7,,,1,,,,,2,,7.0,12.0,1.71,5.0,6.71,3,4,9tlf8m9k,,,,,1
8,4b7jpfw2,,0,56,56,payment_uar,RedirectUAR,2025-11-17 09:44:40.136814,1,,,13.0,2,,1.0,B,B4,1,écart faible,2,3,,,0,,,,,0,,1.0,13.0,1.86,5.0,6.86,2,4,9tlf8m9k,,,,,1
